name,link,result_number,page_number
Ramadan Recipes | Recettes Ramadan,https://www.youtube.com/playlist?list=PL01FX2wlWPfVVFTGAvl7lfG3xZ1i9lFyq,0,0
450 Best Recettes ramadan - salÃ©es ideas in 2025,https://www.pinterest.com/lacculinaire/recettes-ramadan-sal%C3%A9es/,1,0
Recettes Ramadan 2025 (Ftour et Shour),https://www.auxdelicesdupalais.net/recettes-ramadan-2021-ftour-et-shour.html,2,0
50 Recettes Gourmandes pour le Ramadan,https://www.tiktok.com/@nessyfood/video/7476587299128708374,3,0
Recette ramadan,https://www.youtube.com/playlist?list=PLt9JQDU1XqJUb8vews2XB7iyGbM3EPRAm,4,0
Petits salÃ©s prÃªts en 5 minutes - Ù…Ù…Ù„Ø­Ø§Øª - IdÃ©e recette ramadan ...,https://www.youtube.com/watch?v=kFoQuSgV-0k,0,1
Recettes pour le Ramadan : les plats traditionnels ou ...,https://www.saveurs-magazine.fr/inspirations/recettes-ramadan/,1,1
8 simple and easy recipes ideal for the month of Ramadan ðŸŒ™,https://www.youtube.com/watch?v=wgDuU_THrJg,2,1
Menu pour le Ramadan : 30 jours de recettes faciles et ...,https://www.cuisineactuelle.fr/culture-food/idees-de-menus/menu-pour-le-ramadan-30-jours-de-recettes-faciles-et-traditionnelles-195682,3,1
"Recettes Ramadan 2025 : faciles, rapides, traditionnelles...",https://cuisine.journaldesfemmes.fr/idees-recettes/1109810-recettes-ramadan-nos-meilleures-idees-de-menus-faciles/,4,1
